0,Direct Source,SE FIR AVE,Portland,97206,OR,301-340-6808,
1,Cybershop,SW 130TH TER,Portland,97224,OR,431-484-0493,
2,Fast Paced,SE 32ND AVE,Portland,97222,OR,257-206-5132,
3,Boutique de Paris,BRIDGE ST,Portland,97024,OR,411-070-3346,
4,Essential Groceries,SW 198TH AVE,Portland,97078,OR,460-559-0455,
5,Fulfilling Fruits,NW PARKSIDE LN,Portland,97229,OR,417-732-2770,
6,American Blues,SE LEE AVE,Portland,97267,OR,170-167-4246,
7,Bella Bella Boutique,SW DERBY ST,Portland,97005,OR,607-438-6804,
8,Baskets Of Berries,SW DIVISION ST,Portland,97007,OR,752-162-4180,
9,Adaline’s Wardrobe,SE 84TH AVE,Portland,97266,OR,500-607-4015,
10,The Saving Store,SW HOCKEN AVE,Portland,97005,OR,561-049-0980,
11,Bursting Baskets,SE 8TH AVE,Portland,97013,OR,164-618-4409,
12,Campfire Clothes,NE 12TH AVE,Portland,97212,OR,776-456-6397,
13,Cute High,SW BARCELONA WAY,Portland,97007,OR,272-191-3275,
14,Desertus Sweet Corner,NE HOYT TER,Portland,97230,OR,452-571-4424,
15,Comme Des,NE MARINE DR,Portland,97230,OR,467-254-4114,
16,Food Boutique,OREGON CITY BLVD,Portland,97068,OR,157-619-3161,
17,Addiction Like,E BURNSIDE ST,Portland,97233,OR,126-664-1806,
18,Filled With Fruit,NW SPRINGVILLE RD,Portland,97229,OR,575-146-5333,
19,Citrus Sensations,NW 11TH AVE,Portland,97209,OR,125-292-9588,
20,Christian Louboutin Boutique,SW LOMBARD AVE,Portland,97005,OR,146-158-5717,
21,Crownside Retails,SW BURKHALTER RD,Portland,97123,OR,660-402-9463,
22,Beef Quest,SE JENNINGS AVE,Portland,97267,OR,304-159-4405,
23,Blackbird Boutique,SE 86TH AVE,Portland,97266,OR,616-262-7697,
24,Crafty Commerce,SW 12TH AVE,Portland,97201,OR,412-638-3733,
25,Authentic Shoppe,SHIRLEY ST,Portland,97038,OR,533-185-0841,
26,Cooking Care,NE GLISAN ST,Portland,97230,OR,377-290-2497,
27,Fruity Flavors,NE FARGO ST,Portland,97212,OR,714-625-8894,
28,Fruits Of The World,S PINE ST,Portland,97013,OR,111-564-7917,
29,Garden Gallery,FLETCH ST,Portland,97116,OR,103-026-3543,
30,Classic Kitches,SW HIGHPOINT DR,Portland,97140,OR,406-587-3168,
31,Coffea,NW SALTZMAN RD,Portland,97229,OR,434-152-6838,
32,Blue Mall,SE 86TH AVE,Portland,97216,OR,515-355-2088,
33,American Eagle Shop,SE 45TH AVE,Portland,97206,OR,700-703-2995,
34,Fleur Boutique,SE MARINETTE AVE,Portland,97123,OR,416-174-1105,
35,Four Corners,SW BROADWAY,Portland,97205,OR,713-609-9185,
36,Creekside Fruits,SE BIANCA ST,Portland,97123,OR,416-289-3182,
37,Fast and Fresh,SE MARTINS ST,Portland,97202,OR,126-486-6417,
38,Feed Well,SW POINTER WAY,Portland,97225,OR,446-713-2026,
39,Carbonated Corner,E MAIN ST,Portland,97123,OR,721-729-3857,
40,Common Memory,SE DIVISION ST,Portland,97236,OR,776-660-1131,
41,Digital Daily Deals,SW 11TH AVE,Portland,97205,OR,637-520-3232,
42,Cultivated Blessings,SW CIMINO ST,Portland,97062,OR,712-220-3807,
